"@_fa"	"prism:url"	"dc:identifier"	"eid"	"dc:title"	"dc:creator"	"prism:publicationName"	"prism:issn"	"prism:eIssn"	"prism:pageRange"	"prism:coverDate"	"prism:coverDisplayDate"	"prism:doi"	"citedby-count"	"prism:aggregationType"	"subtype"	"subtypeDescription"	"source-id"	"openaccess"	"openaccessFlag"	"entry_number"	"prism:volume"	"prism:issueIdentifier"	"article-number"	"pubmed-id"	"pii"	"error"
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85043327060"	"SCOPUS_ID:85043327060"	"2-s2.0-85043327060"	"Preventing plastics pervading an oceanic oasis: Building the case for the Costa Rica Thermal Dome to become a World Heritage site in ABNJ"	"Johnson D."	"Marine Policy"	"0308597X"	NA	"235-242"	"2018-10-01"	"October 2018"	"10.1016/j.marpol.2018.02.022"	"3"	"Journal"	"ar"	"Article"	"27851"	"0"	"FALSE"	"11"	"96"	NA	NA	NA	"S0308597X18300150"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85047210407"	"SCOPUS_ID:85047210407"	"2-s2.0-85047210407"	"Coastal development and marine ecosystems in Culebra Bay, Guanacaste, Costa Rica"	"Sánchez-Noguera C."	"Revista de Biologia Tropical"	"00347744"	"22152075"	"S309-S327"	"2018-01-01"	"2018"	"10.15517/rbt.v66i1.33301"	"0"	"Journal"	"ar"	"Article"	"13567"	"1"	"TRUE"	"12"	"66"	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84930403630"	"SCOPUS_ID:84930403630"	"2-s2.0-84930403630"	"Adapting and improving resilience to climate change in communities (Moravian community as a pilot), by creating new capabilities based on the implementation of a new water culture; Protection and management of natural resources"	"Campos-Gallo A."	"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives"	"16821750"	NA	"1453-1460"	"2015-01-01"	"28 April 2015"	"10.5194/isprsarchives-XL-7-W3-1453-2015"	"0"	"Conference Proceeding"	"cp"	"Conference Paper"	"21100248929"	"1"	"TRUE"	"13"	"40"	"7W3"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84855287383"	"SCOPUS_ID:84855287383"	"2-s2.0-84855287383"	"Social conditions and urban health inequities: Realities, challenges and opportunities to transform the urban landscape through research and action"	"De Snyder V."	"Journal of Urban Health"	"10993460"	"14682869"	"1183-1193"	"2011-12-01"	"December 2011"	"10.1007/s11524-011-9609-y"	"22"	"Journal"	"ar"	"Article"	"16448"	"0"	"FALSE"	"14"	"88"	"6"	NA	"21850555"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/80053510623"	"SCOPUS_ID:80053510623"	"2-s2.0-80053510623"	"Forest conservation and restoration using eco-loan financing (ELF) in Costa Rica: Report on a working model"	"Lennette E."	"Conservation Letters"	NA	"1755263X"	"402-407"	"2011-10-01"	"October 2011"	"10.1111/j.1755-263X.2011.00193.x"	"1"	"Journal"	"ar"	"Article"	"19900191736"	"1"	"TRUE"	"15"	"4"	"5"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/78149281639"	"SCOPUS_ID:78149281639"	"2-s2.0-78149281639"	"White paper report from working groups attending the international conference on research and educational opportunities in bio-fuel crop production"	"Morgan K."	"Biomass and Bioenergy"	"09619534"	NA	"1968-1972"	"2010-12-01"	"December 2010"	"10.1016/j.biombioe.2010.07.004"	"2"	"Journal"	"ar"	"Article"	"28810"	"0"	"FALSE"	"16"	"34"	"12"	NA	NA	"S0961953410002096"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/67749132636"	"SCOPUS_ID:67749132636"	"2-s2.0-67749132636"	"Current status of Peruvian Terns Sternula lorata in Perú: Threats, conservation and research priorities"	"Zavalaga C."	"Bird Conservation International"	"09592709"	"14740001"	"175-186"	"2009-08-03"	"2009"	"10.1017/S0959270908008332"	"8"	"Journal"	"ar"	"Article"	"21017"	"1"	"TRUE"	"17"	"19"	"2"	NA	NA	"S0959270908008332"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/56849083329"	"SCOPUS_ID:56849083329"	"2-s2.0-56849083329"	"Tropical wetlands for climate change research, water quality management and conservation education on a university campus in Costa Rica"	"Mitsch W."	"Ecological Engineering"	"09258574"	NA	"276-288"	"2008-11-05"	"5 November 2008"	"10.1016/j.ecoleng.2008.07.012"	"35"	"Journal"	"ar"	"Article"	"20291"	"0"	"FALSE"	"18"	"34"	"4"	NA	NA	"S0925857408001444"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84883777242"	"SCOPUS_ID:84883777242"	"2-s2.0-84883777242"	"Reasons for beach choice: European and Caribbean perspectives"	"Botero C."	"Journal of Coastal Research"	"07490208"	"15515036"	"880-885"	"2013-09-17"	"2013"	"10.2112/SI65-149"	"26"	"Journal"	"cp"	"Conference Paper"	"27374"	"0"	"FALSE"	"19"	NA	"SPEC. ISSUE 65"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85028292312"	"SCOPUS_ID:85028292312"	"2-s2.0-85028292312"	"Water resources management in small mountain watersheds in the humid tropics: The hydrologic system of the Santo Tomas cave system, Pinar del Rio, Cuba"	"Molerio León L."	"Management of Water Resources in Protected Areas"	NA	NA	"137-144"	"2013-01-01"	"1 January 2013"	"10.1007/978-3-642-16330-2_16"	"0"	"Book"	"ch"	"Chapter"	"21100828066"	"0"	"FALSE"	"20"	NA	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85028287045"	"SCOPUS_ID:85028287045"	"2-s2.0-85028287045"	"Sustainable management of hydraulic resources in Sagua La Grande basin (Villa Clara Province, Cuba), a simulation model with systems dynamics"	"Bucarano Montano L."	"Management of Water Resources in Protected Areas"	NA	NA	"129-135"	"2013-01-01"	"1 January 2013"	"10.1007/978-3-642-16330-2_15"	"0"	"Book"	"ch"	"Chapter"	"21100828066"	"0"	"FALSE"	"21"	NA	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84868224185"	"SCOPUS_ID:84868224185"	"2-s2.0-84868224185"	"The educational communication for environmental management and to diminish water transmitted diseases"	"Cruz S."	"ACIMED"	"10249435"	NA	"263-278"	"2012-07-01"	"July 2012"	NA	"0"	"Journal"	"ar"	"Article"	"5100155014"	"0"	"FALSE"	"22"	"23"	"3"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84858715705"	"SCOPUS_ID:84858715705"	"2-s2.0-84858715705"	"Energy, environment and development in Cuba"	"Suárez J."	"Renewable and Sustainable Energy Reviews"	"13640321"	NA	"2724-2731"	"2012-06-01"	"June 2012"	"10.1016/j.rser.2012.02.023"	"18"	"Journal"	"re"	"Review"	"27567"	"0"	"FALSE"	"23"	"16"	"5"	NA	NA	"S1364032112001177"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/67650074172"	"SCOPUS_ID:67650074172"	"2-s2.0-67650074172"	"Community involvement in dengue vector control: Cluster randomised trial"	"Vanlerberghe V."	"BMJ (Online)"	NA	"17561833"	"1477-1479"	"2009-06-20"	"20 June 2009"	"10.1136/bmj.b1959"	"74"	"Journal"	"ar"	"Article"	"51748"	"1"	"TRUE"	"24"	"338"	"7709"	NA	"19509031"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/34250748539"	"SCOPUS_ID:34250748539"	"2-s2.0-34250748539"	"The environmental component of an integrated surveillance for the control and prevention of dengue fever"	"Melián M."	"Revista Cubana de Higiene y Epidemiologia"	NA	"15613003"	NA	"2007-01-01"	"January 2007"	NA	"1"	"Journal"	"ar"	"Article"	"63853"	"0"	"FALSE"	"25"	"45"	"1"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/33244456557"	"SCOPUS_ID:33244456557"	"2-s2.0-33244456557"	"Learning together: A Canada-Cuba research collaboration to improve the sustainable management of environmental health risks"	"Spiegel J."	"Canadian Journal of Public Health"	"00084263"	NA	"50-55"	"2006-01-01"	"January 2006"	NA	"8"	"Journal"	"ar"	"Article"	"20137"	"0"	"FALSE"	"26"	"97"	"1"	NA	"16512329"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/55449114786"	"SCOPUS_ID:55449114786"	"2-s2.0-55449114786"	"Calidad de vida e indicadores de salud. Cuba, 2001-2002"	"García Pérez R."	"Revista Cubana de Higiene y Epidemiologia"	"02531751"	NA	NA	"2004-12-01"	"2004"	NA	"5"	"Journal"	"ar"	"Article"	"63853"	"0"	"FALSE"	"27"	"42"	"3"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/0021054940"	"SCOPUS_ID:0021054940"	"2-s2.0-0021054940"	"(Evaluation of the natural conditions for the rest and recreation/leisure of the population as a basis of the camping programme in Cuba)."	"Gonzalez Otero L."	"Studia Geographica, Brno"	NA	NA	"88-98"	"1983-01-01"	"1983"	NA	"0"	"Journal"	"ar"	"Article"	"31141"	"0"	"FALSE"	"28"	"86"	NA	NA	NA	NA	NA
"true"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"29"	NA	NA	NA	NA	NA	"Result set was empty"
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84988430404"	"SCOPUS_ID:84988430404"	"2-s2.0-84988430404"	"Changes in Health and Antiretroviral Adherence Among HIV-Infected Adults in Kenya: Qualitative Longitudinal Findings from a Livelihood Intervention"	"Weiser S."	"AIDS and Behavior"	"10907165"	"15733254"	"415-427"	"2017-02-01"	"1 February 2017"	"10.1007/s10461-016-1551-2"	"7"	"Journal"	"ar"	"Article"	"20153"	"0"	"FALSE"	"30"	"21"	"2"	NA	"27637497"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84969796238"	"SCOPUS_ID:84969796238"	"2-s2.0-84969796238"	"Recommendations for Capacity Development in Water Resources Engineering and Environmental Management in Latin America"	"Bormann H."	"Water Resources Management"	"09204741"	"15731650"	"3409-3426"	"2016-08-01"	"1 August 2016"	"10.1007/s11269-016-1359-x"	"2"	"Journal"	"ar"	"Article"	"18853"	"0"	"FALSE"	"31"	"30"	"10"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/33646194003"	"SCOPUS_ID:33646194003"	"2-s2.0-33646194003"	"International community based senior design projects: Santa Clara University and Universidad Centro Americana"	"Hight T."	"Innovations in Engineering Education 2005: Mechanical Engineering Education, Mechanical Engineering Technology Department Heads"	NA	NA	"303-308"	"2005-12-01"	"2005"	NA	"0"	"Conference Proceeding"	"cp"	"Conference Paper"	"4200151504"	"0"	"FALSE"	"32"	"2005"	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84942089635"	"SCOPUS_ID:84942089635"	"2-s2.0-84942089635"	"Caribbean heat threatens health, well-being and the future of humanity"	"Macpherson C."	"Public Health Ethics"	"17549973"	"17549981"	"196-208"	"2015-01-01"	"2015"	"10.1093/phe/phv008"	"9"	"Journal"	"ar"	"Article"	"19700174990"	"0"	"FALSE"	"33"	"8"	"2"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/79251594037"	"SCOPUS_ID:79251594037"	"2-s2.0-79251594037"	"Debris-flow impact, vulnerability, and response"	"Santi P."	"Natural Hazards"	"0921030X"	NA	"371-402"	"2011-01-01"	"2011"	"10.1007/s11069-010-9576-8"	"38"	"Journal"	"ar"	"Article"	"23282"	"0"	"FALSE"	"34"	"56"	"1"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/54349123083"	"SCOPUS_ID:54349123083"	"2-s2.0-54349123083"	"Capacity building in rural Guatemala by implementing a solid waste management program"	"Zarate M."	"Waste Management"	"0956053X"	NA	"2542-2551"	"2008-12-01"	"December 2008"	"10.1016/j.wasman.2007.10.016"	"17"	"Journal"	"ar"	"Article"	"26490"	"0"	"FALSE"	"35"	"28"	"12"	NA	"18166447"	"S0956053X07003923"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/0031657254"	"SCOPUS_ID:0031657254"	"2-s2.0-0031657254"	"Reduction of fecal contamination of street-vended beverages in Guatemala by a simple system for water purification and storage, handwashing, and beverage storage"	"Sobel J."	"American Journal of Tropical Medicine and Hygiene"	"00029637"	NA	"380-387"	"1998-01-01"	"September 1998"	"10.4269/ajtmh.1998.59.380"	"52"	"Journal"	"ar"	"Article"	"21787"	"1"	"TRUE"	"36"	"59"	"3"	NA	"9749629"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85032013058"	"SCOPUS_ID:85032013058"	"2-s2.0-85032013058"	"Applying a new framework for public health systems recovery following emergencies and disasters: The example of Haiti following a major earthquake and cholera outbreak"	"Fitter D."	"American Journal of Tropical Medicine and Hygiene"	"00029637"	NA	"4-11"	"2017-10-01"	"October 2017"	"10.4269/ajtmh.16-0862"	"2"	"Journal"	"ar"	"Article"	"21787"	"1"	"TRUE"	"37"	"97"	NA	NA	"29064359"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84974839201"	"SCOPUS_ID:84974839201"	"2-s2.0-84974839201"	"Haiti’s progress in achieving its 10-year plan to eliminate cholera: Hidden sickness cannot be cured"	"Koski-Karell V."	"Risk Management and Healthcare Policy"	NA	"11791594"	"87-100"	"2016-05-24"	"24 May 2016"	"10.2147/RMHP.S75919"	"3"	"Journal"	"ar"	"Article"	"19700182697"	"1"	"TRUE"	"38"	"9"	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84930482627"	"SCOPUS_ID:84930482627"	"2-s2.0-84930482627"	"Cholera management and prevention at Hôpital Albert Schweitzer, Haiti"	"Ernst S."	"Emerging Infectious Diseases"	"10806040"	"10806059"	"2155-2157"	"2011-01-01"	"November 2011"	"10.3201/eid17110.11815"	"9"	"Journal"	"ar"	"Article"	"20228"	"1"	"TRUE"	"39"	"17"	"11"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/34548631177"	"SCOPUS_ID:34548631177"	"2-s2.0-34548631177"	"After the flood: An evaluation of in-home drinking water treatment with combined flocculent-disinfectant following Tropical Storm Jeanne - Gonaives, Haiti, 2004"	"Colindres R."	"Journal of Water and Health"	"14778920"	NA	"367-374"	"2007-09-01"	"September 2007"	"10.2166/wh.2007.032"	"26"	"Journal"	"ar"	"Article"	"17512"	"1"	"TRUE"	"40"	"5"	"3"	NA	"17878551"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84866052618"	"SCOPUS_ID:84866052618"	"2-s2.0-84866052618"	"A school program for dengue control in honduras: From knowledge to action"	"Montes G."	"Revista Panamericana de Salud Publica/Pan American Journal of Public Health"	"10204989"	"16805348"	"518-522"	"2012-06-01"	"June 2012"	NA	"4"	"Journal"	"ar"	"Article"	"22604"	"0"	"FALSE"	"41"	"31"	"6"	NA	"22858820"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/0019729630"	"SCOPUS_ID:0019729630"	"2-s2.0-0019729630"	"Administrative arrangements for linking the TBA with the formal health system"	"Manley De Carias M."	"Public Health Papers"	NA	NA	"27-35"	"1981-01-01"	"1981"	NA	"0"	"Journal"	"ar"	"Article"	"34964"	"0"	"FALSE"	"42"	"No. 75"	NA	NA	"7348509"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85055294116"	"SCOPUS_ID:85055294116"	"2-s2.0-85055294116"	"Impacts of fisheries on elasmobranch reproduction: high rates of abortion and subsequent maternal mortality in the shortnose guitarfish"	"Wosnick N."	"Animal Conservation"	"13679430"	"14691795"	"198-206"	"2019-04-01"	"April 2019"	"10.1111/acv.12458"	"2"	"Journal"	"ar"	"Article"	"17180"	"0"	"FALSE"	"43"	"22"	"2"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84994851830"	"SCOPUS_ID:84994851830"	"2-s2.0-84994851830"	"High-frequency lake data benefit society through broader engagement with stakeholders: A synthesis of GLEON data use survey and membe rexperiences"	"Smyth R."	"Inland Waters"	"20442041"	"2044205X"	"555-564"	"2016-01-01"	"2016"	"10.5268/IW-6.4.894"	"3"	"Journal"	"ar"	"Article"	"21100232821"	"0"	"FALSE"	"44"	"6"	"4"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84930177767"	"SCOPUS_ID:84930177767"	"2-s2.0-84930177767"	"Environmental impact assessment as a complement of life cycle assessment. Case study: Upgrading of biogas"	"Morero B."	"Bioresource Technology"	"09608524"	"18732976"	"402-407"	"2015-08-01"	"August 01, 2015"	"10.1016/j.biortech.2015.04.091"	"13"	"Journal"	"ar"	"Article"	"15423"	"0"	"FALSE"	"45"	"190"	NA	NA	"25971645"	"S0960852415006173"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84946088839"	"SCOPUS_ID:84946088839"	"2-s2.0-84946088839"	"Economics"	"Palley P."	"Water Environment Research"	"10614303"	"15547531"	"1914-1922"	"2015-01-01"	"2015"	"10.2175/106143015X14338845156506"	"0"	"Journal"	"re"	"Review"	"24563"	"0"	"FALSE"	"46"	"87"	"10"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84936753188"	"SCOPUS_ID:84936753188"	"2-s2.0-84936753188"	"Integrated management hydric basin : Gualjaina river basin, Chubut, Argentina"	"Ferrer Alessi V."	"Boletin Mexicano de Derecho Comparado"	"00418633"	NA	"615-643"	"2015-01-01"	"2015"	NA	"0"	"Journal"	"ar"	"Article"	"5800172268"	"0"	"FALSE"	"47"	"2015"	"143"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84963620224"	"SCOPUS_ID:84963620224"	"2-s2.0-84963620224"	"Social vulnerability assessment associated with groundwater consumption in the Quequén Grande river basin, Buenos Aires province, Argentina"	"Grondona S."	"Revista Internacional de Contaminacion Ambiental"	"01884999"	NA	"351-359"	"2015-01-01"	"2015"	NA	"1"	"Journal"	"ar"	"Article"	"25279"	"0"	"FALSE"	"48"	"31"	"4"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84941585434"	"SCOPUS_ID:84941585434"	"2-s2.0-84941585434"	"Integrated water resources management strategy to mitigate drought impacts in Mexico"	"Torrecillas Núñez C."	"Drought: Research and Science-Policy Interfacing - Proceedings of the International Conference on Drought: Research and Science-Policy Interfacing"	NA	NA	"475-480"	"2015-01-01"	"2015"	NA	"0"	"Conference Proceeding"	"cp"	"Conference Paper"	"21100407626"	"0"	"FALSE"	"49"	NA	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84923238562"	"SCOPUS_ID:84923238562"	"2-s2.0-84923238562"	"Soil quality impacts of current South American agricultural practices"	"Wingeyer A."	"Sustainability (Switzerland)"	"20711050"	"20711050"	"2213-2242"	"2015-01-01"	"2015"	"10.3390/su7022213"	"21"	"Journal"	"re"	"Review"	"21100240100"	"1"	"TRUE"	"50"	"7"	"2"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84897578661"	"SCOPUS_ID:84897578661"	"2-s2.0-84897578661"	"An ecohydrological adaptive approach to a salt lake in the semiarid grasslands of Argentina: Future management perspectives"	"Kopprio G."	"Sustainability Science"	"18624065"	"18624057"	"229-238"	"2014-01-01"	"April 2014"	"10.1007/s11625-013-0207-7"	"5"	"Journal"	"ar"	"Article"	"5400152621"	"0"	"FALSE"	"51"	"9"	"2"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84904676859"	"SCOPUS_ID:84904676859"	"2-s2.0-84904676859"	"Rainfall trends, land use change and adaptation in the Chaco salteño region of Argentina"	"Murgida A."	"Regional Environmental Change"	"14363798"	"1436378X"	"1387-1394"	"2014-01-01"	"August 2014"	"10.1007/s10113-013-0581-9"	"15"	"Journal"	"ar"	"Article"	"144969"	"0"	"FALSE"	"52"	"14"	"4"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84937512067"	"SCOPUS_ID:84937512067"	"2-s2.0-84937512067"	"Aquatic risk assessment of pesticides in Latin America"	"Carriquiriborde P."	"Integrated Environmental Assessment and Management"	"15513793"	NA	"539-542"	"2014-01-01"	"2014"	"10.1002/ieam.1561"	"16"	"Journal"	"ar"	"Article"	"4400151417"	"0"	"FALSE"	"53"	"10"	"4"	NA	"25044328"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84871537726"	"SCOPUS_ID:84871537726"	"2-s2.0-84871537726"	"Increasing capacity for environmental engineering in Salta, Argentina"	"Rajal V."	"American Journal of Industrial Medicine"	"02713586"	"10970274"	"11-19"	"2013-01-01"	"January 2013"	"10.1002/ajim.22044"	"0"	"Journal"	"ar"	"Article"	"28563"	"0"	"FALSE"	"54"	"56"	"1"	NA	"22467330"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84863227331"	"SCOPUS_ID:84863227331"	"2-s2.0-84863227331"	"Training hydrologists to be ecohydrologists and play a leading role in environmental problem solving"	"McClain M."	"Hydrology and Earth System Sciences"	"10275606"	"16077938"	"1685-1696"	"2012-07-05"	"2012"	"10.5194/hess-16-1685-2012"	"15"	"Journal"	"ar"	"Article"	"29472"	"1"	"TRUE"	"55"	"16"	"6"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/79955623468"	"SCOPUS_ID:79955623468"	"2-s2.0-79955623468"	"Socio-environmental conditions, intestinal parasitic infections and nutritional status in children from a suburban neighborhood of La Plata, Argentina"	"Gamboa M."	"Acta Tropica"	"0001706X"	NA	"184-189"	"2011-06-01"	"June 2011"	"10.1016/j.actatropica.2009.06.015"	"30"	"Journal"	"ar"	"Article"	"21288"	"0"	"FALSE"	"56"	"118"	"3"	NA	"19577532"	"S0001706X09001636"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/70350703035"	"SCOPUS_ID:70350703035"	"2-s2.0-70350703035"	"Rational biomass energy use for water heating in rural schools"	"Garzón B."	"2009 International Conference on Clean Electrical Power, ICCEP 2009"	NA	NA	"128-134"	"2009-11-10"	"2009"	"10.1109/ICCEP.2009.5212072"	"0"	"Conference Proceeding"	"cp"	"Conference Paper"	"19400157404"	"0"	"FALSE"	"57"	NA	NA	"5212072"	NA	NA	NA
